variable,cycle,table,raw_name,weight,description,category,in_dataset,units,chemical_family
AADBDSP,2005-2006,ALDUST_D,,,Bed Space Vacuumed (square inches),Allergens - Household Dust,LAB,,
AADBDTIM,2005-2006,ALDUST_D,,,Bed Vacuum Time (seconds),Allergens - Household Dust,LAB,,
AADBDTYP,2005-2006,ALDUST_D,,,Type of Bed,Allergens - Household Dust,LAB,,
AADEXSTS,2005-2006,ALDUST_D,,,Status of Dust Allergen Data,Allergens - Household Dust,LAB,,
AADFLSP,2005-2006,ALDUST_D,,,Floor Space Vacuumed (square inches),Allergens - Household Dust,LAB,,
AADFLTIM,2005-2006,ALDUST_D,,,Floor Vacuum Time (seconds),Allergens - Household Dust,LAB,,
AADMOVE,2005-2006,ALDUST_D,,,Have you/any of the SPs listed below moved since the time when you were last interviewed in your household?,Allergens - Household Dust,LAB,,
AAXBDMAT,2005-2006,ALDUST_D,,,Impermeable Mattress Cover,Allergens - Household Dust,LAB,,
AAXBDPLW,2005-2006,ALDUST_D,,,Impermeable Pillow Cover,Allergens - Household Dust,LAB,,
AAXBDST,2005-2006,ALDUST_D,,,Bed Sample Status,Allergens - Household Dust,LAB,,
AAXBDSUR,2005-2006,ALDUST_D,,,Bed Surface Vacuumed,Allergens - Household Dust,LAB,,
AAXFLST,2005-2006,ALDUST_D,,,Floor Sample Status,Allergens - Household Dust,LAB,,
AAXFLTYP,2005-2006,ALDUST_D,,,Type of Floor Covering,Allergens - Household Dust,LAB,,
AAXRMDES,2005-2006,ALDUST_D,,,Room Description,Allergens - Household Dust,LAB,,
AAXRMHUM,2005-2006,ALDUST_D,,,Room Humidity (%),Allergens - Household Dust,LAB,,
AAXRMTMP,2005-2006,ALDUST_D,,,Room Temperature (F),Allergens - Household Dust,LAB,,
ACD010A,1999-2000,ACQ,,,What language(s) {do you/does SP} usually speak at home?,Acculturation,Q,,
ACD010A,2001-2002,ACQ_B,,,What language(s) {do you/does SP} usually speak at home?,Acculturation,Q,,
ACD010A,2003-2004,ACQ_C,,,What language(s) {do you/does SP} usually speak at home?,Acculturation,Q,,
ACD010A,2005-2006,ACQ_D,,,What language(s) {do you/does SP} usually speak at home?,Acculturation,Q,,
ACD010A,2007-2008,ACQ_E,,,What language(s) {do you/does SP} usually speak at home?,Acculturation,Q,,
ACD010A,2009-2010,ACQ_F,,,What language(s) {do you/does SP} usually speak at home?,Acculturation,Q,,
ACD010B,1999-2000,ACQ,,,What language(s) {do you/does SP} usually speak at home?,Acculturation,Q,,
ACD010B,2001-2002,ACQ_B,,,What language(s) {do you/does SP} usually speak at home?,Acculturation,Q,,
ACD010B,2003-2004,ACQ_C,,,What language(s) {do you/does SP} usually speak at home?,Acculturation,Q,,
ACD010B,2005-2006,ACQ_D,,,What language(s) {do you/does SP} usually speak at home?,Acculturation,Q,,
ACD010B,2007-2008,ACQ_E,,,What language(s) {do you/does SP} usually speak at home?,Acculturation,Q,,
ACD010B,2009-2010,ACQ_F,,,What language(s) {do you/does SP} usually speak at home?,Acculturation,Q,,
ACD010C,1999-2000,ACQ,,,What language(s) {do you/does SP} usually speak at home?,Acculturation,Q,,
ACD010C,2001-2002,ACQ_B,,,What language(s) {do you/does SP} usually speak at home?,Acculturation,Q,,
ACD010C,2003-2004,ACQ_C,,,What language(s) {do you/does SP} usually speak at home?,Acculturation,Q,,
ACD010C,2005-2006,ACQ_D,,,What language(s) {do you/does SP} usually speak at home?,Acculturation,Q,,
ACD010C,2007-2008,ACQ_E,,,What language(s) {do you/does SP} usually speak at home?,Acculturation,Q,,
ACD010C,2009-2010,ACQ_F,,,What language(s) {do you/does SP} usually speak at home?,Acculturation,Q,,
ACD011A,2011-2012,ACQ_G,,,What language(s) {do you/does SP} usually speak at home?,Acculturation,Q,,
ACD011A,2013-2014,ACQ_H,,,What language(s) {do you/does SP} usually speak at home?,Acculturation,Q,,
ACD011A,2015-2016,ACQ_I,,,What language(s) {do you/does SP} usually speak at home?,Acculturation,Q,,
ACD011A,2017-2018,ACQ_J,,,What language(s) {do you/does SP} usually speak at home?,Acculturation,Q,,
ACD011B,2011-2012,ACQ_G,,,What language(s) {do you/does SP} usually speak at home?,Acculturation,Q,,
ACD011B,2013-2014,ACQ_H,,,What language(s) {do you/does SP} usually speak at home?,Acculturation,Q,,
ACD011B,2015-2016,ACQ_I,,,What language(s) {do you/does SP} usually speak at home?,Acculturation,Q,,
ACD011B,2017-2018,ACQ_J,,,What language(s) {do you/does SP} usually speak at home?,Acculturation,Q,,
ACD011C,2011-2012,ACQ_G,,,What language(s) {do you/does SP} usually speak at home?,Acculturation,Q,,
ACD011C,2013-2014,ACQ_H,,,What language(s) {do you/does SP} usually speak at home?,Acculturation,Q,,
ACD011C,2015-2016,ACQ_I,,,What language(s) {do you/does SP} usually speak at home?,Acculturation,Q,,
ACD011C,2017-2018,ACQ_J,,,What language(s) {do you/does SP} usually speak at home?,Acculturation,Q,,
ACD040,1999-2000,ACQ,,,What language(s) {do you/does SP} usually speak at home?  Would you say...,Acculturation,Q,,
ACD040,2001-2002,ACQ_B,,,What language(s) {do you/does SP} usually speak at home?  Would you say...,Acculturation,Q,,
ACD040,2003-2004,ACQ_C,,,What language(s) {do you/does SP} usually speak at home?  Would you say...,Acculturation,Q,,
ACD040,2005-2006,ACQ_D,,,Now I'm going to ask you about language use. What language(s) {do you/does SP} usually speak at home?,Acculturation,Q,,
ACD040,2007-2008,ACQ_E,,,Now I'm going to ask you about language use. What language(s) {do you/does SP} usually speak at home?,Acculturation,Q,,
ACD040,2009-2010,ACQ_F,,,Now I'm going to ask you about language use. What language(s) {do you/does SP} usually speak at home?,Acculturation,Q,,
ACD040,2011-2012,ACQ_G,,,"Now I'm going to ask you about language use.
What language(s) {do you/does SP} usually speak at home?  {Do you/Does he/Does she",Acculturation,Q,,
ACD040,2013-2014,ACQ_H,,,"Now I'm going to ask you about language use.
What language(s) {do you/does SP} usually speak at home?  {Do you/Does he/Does she",Acculturation,Q,,
ACD040,2015-2016,ACQ_I,,,"Now I'm going to ask you about language use.
What language(s) {do you/does SP} usually speak at home?  {Do you/Does he/Does she",Acculturation,Q,,
ACD040,2017-2018,ACQ_J,,,"Now I'm going to ask you about language use.
What language(s) {do you/does SP} usually speak at home?  {Do you/Does he/Does she",Acculturation,Q,,
ACD070,1999-2000,ACQ,,,In what country was {your/SP's} father born?,Acculturation,Q,,
ACD070,2001-2002,ACQ_B,,,In what country was {your/SP's} father born?,Acculturation,Q,,
ACD070,2003-2004,ACQ_C,,,In what country was {your/SP's} father born?,Acculturation,Q,,
ACD080,1999-2000,ACQ,,,In what country was {your/SP's} mother born?,Acculturation,Q,,
ACD080,2001-2002,ACQ_B,,,In what country was {your/SP's} mother born?,Acculturation,Q,,
ACD080,2003-2004,ACQ_C,,,In what country was {your/SP's} mother born?,Acculturation,Q,,
