variable,cycle,table,raw_name,weight,description,category,in_dataset,units,chemical_family
AIALANGA,2003-2004,DEMO_C,AIALANG,,Language of the MEC ACASI Interview Instrument,Demographics,Demographics,NA,NA
AIALANGA,2005-2006,DEMO_D,AIALANG,,Language of the MEC ACASI Interview Instrument,Demographics,Demographics,NA,NA
AIALANGA,2007-2008,DEMO_E,AIALANG,,Language of the MEC ACASI Interview Instrument,Demographics,Demographics,NA,NA
AIALANGA,2009-2010,DEMO_F,AIALANG,,Language of the MEC ACASI Interview Instrument,Demographics,Demographics,NA,NA
AIALANGA,2011-2012,DEMO_G,,,Language of the MEC ACASI Interview Instrument,Demographics,Demographics,NA,NA
AIALANGA,2013-2014,DEMO_H,,,Language of the MEC ACASI Interview Instrument,Demographics,Demographics,NA,NA
AIALANGA,2015-2016,DEMO_I,,,Language of the MEC ACASI Interview Instrument,Demographics,Demographics,NA,NA
AIALANGA,2017-2018,DEMO_J,,,Language of the MEC ACASI Interview Instrument,Demographics,Demographics,NA,NA
DMAETHN,1999-2000,DEMO,,,Logical Imputation Flag for Ethnicity,Demographics,Demographics,NA,NA
DMARACE,1999-2000,DEMO,,,Logical Imputation Flag for Race Recode,Demographics,Demographics,NA,NA
DMDBORN4,1999-2000,DEMO,DMDBORN,,In what country {were you/was SP} born?,Demographics,Demographics,NA,NA
DMDBORN4,2001-2002,DEMO_B,DMDBORN,,In what country {were you/was SP} born?,Demographics,Demographics,NA,NA
DMDBORN4,2003-2004,DEMO_C,DMDBORN,,In what country {were you/was SP} born?,Demographics,Demographics,NA,NA
DMDBORN4,2005-2006,DEMO_D,DMDBORN,,In what country {were you/was SP} born?,Demographics,Demographics,NA,NA
DMDBORN4,2007-2008,DEMO_E,DMDBORN2,,In what country {were you/was SP} born?,Demographics,Demographics,NA,NA
DMDBORN4,2009-2010,DEMO_F,DMDBORN2,,In what country {were you/was SP} born?,Demographics,Demographics,NA,NA
DMDBORN4,2011-2012,DEMO_G,,,In what country {were you/was SP} born?,Demographics,Demographics,NA,NA
DMDBORN4,2013-2014,DEMO_H,,,In what country {were you/was SP} born?,Demographics,Demographics,NA,NA
DMDBORN4,2015-2016,DEMO_I,,,In what country {were you/was SP} born?,Demographics,Demographics,NA,NA
DMDBORN4,2017-2018,DEMO_J,,,In what country {were you/was SP} born?,Demographics,Demographics,NA,NA
DMDCITZN,1999-2000,DEMO,,,{Are you/Is SP} a citizen of the United States? [Information about citizenship is being collected by the U.S. Public Health Service to perform health related research. Providing this information is voluntary and is collected under the authority of the Public Health Service Act. There will be no effect on pending immigration or citizenship petitions.],Demographics,Demographics,NA,NA
DMDCITZN,2001-2002,DEMO_B,,,{Are you/Is SP} a citizen of the United States? [Information about citizenship is being collected by the U.S. Public Health Service to perform health related research. Providing this information is voluntary and is collected under the authority of the Public Health Service Act. There will be no effect on pending immigration or citizenship petitions.],Demographics,Demographics,NA,NA
DMDCITZN,2003-2004,DEMO_C,,,{Are you/Is SP} a citizen of the United States? [Information about citizenship is being collected by the U.S. Public Health Service to perform health related research. Providing this information is voluntary and is collected under the authority of the Public Health Service Act. There will be no effect on pending immigration or citizenship petitions.],Demographics,Demographics,NA,NA
DMDCITZN,2005-2006,DEMO_D,,,{Are you/Is SP} a citizen of the United States? [Information about citizenship is being collected by the U.S. Public Health Service to perform health related research. Providing this information is voluntary and is collected under the authority of the Public Health Service Act. There will be no effect on pending immigration or citizenship petitions.],Demographics,Demographics,NA,NA
DMDCITZN,2007-2008,DEMO_E,,,{Are you/Is SP} a citizen of the United States? [Information about citizenship is being collected by the U.S. Public Health Service to perform health related research. Providing this information is voluntary and is collected under the authority of the Public Health Service Act. There will be no effect on pending immigration or citizenship petitions.],Demographics,Demographics,NA,NA
DMDCITZN,2009-2010,DEMO_F,,,{Are you/Is SP} a citizen of the United States? [Information about citizenship is being collected by the U.S. Public Health Service to perform health related research. Providing this information is voluntary and is collected under the authority of the Public Health Service Act. There will be no effect on pending immigration or citizenship petitions.],Demographics,Demographics,NA,NA
DMDCITZN,2011-2012,DEMO_G,,,{Are you/Is SP} a citizen of the United States? [Information about citizenship is being collected by the U.S. Public Health Service to perform health related research. Providing this information is voluntary and is collected under the authority of the Public Health Service Act. There will be no effect on pending immigration or citizenship petitions.],Demographics,Demographics,NA,NA
DMDCITZN,2013-2014,DEMO_H,,,{Are you/Is SP} a citizen of the United States? [Information about citizenship is being collected by the U.S. Public Health Service to perform health related research. Providing this information is voluntary and is collected under the authority of the Public Health Service Act. There will be no effect on pending immigration or citizenship petitions.],Demographics,Demographics,NA,NA
DMDCITZN,2015-2016,DEMO_I,,,{Are you/Is SP} a citizen of the United States? [Information about citizenship is being collected by the U.S. Public Health Service to perform health related research. Providing this information is voluntary and is collected under the authority of the Public Health Service Act. There will be no effect on pending immigration or citizenship petitions.],Demographics,Demographics,NA,NA
DMDCITZN,2017-2018,DEMO_J,,,{Are you/Is SP} a citizen of the United States? [Information about citizenship is being collected by the U.S. Public Health Service to perform health related research. Providing this information is voluntary and is collected under the authority of the Public Health Service Act. There will be no effect on pending immigration or citizenship petitions.],Demographics,Demographics,NA,NA
